Results of Simulation 1

Time	CR_mgL	CS_mgL	CK_mgL	CH_mgL	CBL_mgL	BalErr
15.4	3.23537e-38	1.09927e-38	8.29944e-38	1.57061e-38	5.18677e-38	-1.74683e-07
15.5	1.81728e-38	6.17449e-39	4.66172e-38	8.82198e-39	2.91336e-38	-1.74683e-07
15.6	1.02075e-38	3.46815e-39	2.61844e-38	4.95522e-39	1.63641e-38	-1.74683e-07
15.7	5.73343e-39	1.94803e-39	1.47075e-38	2.7833e-39	9.19153e-39	-1.74683e-07
15.8	3.22041e-39	1.09419e-39	8.26107e-39	1.56335e-39	5.16279e-39	-1.74683e-07
15.9	1.80887e-39	6.14594e-40	4.64016e-39	8.78119e-40	2.89989e-39	-1.74683e-07
16	1.01603e-39	3.45211e-40	2.60633e-39	4.93231e-40	1.62884e-39	-1.74683e-07
16.1	5.70692e-40	1.93902e-40	1.46395e-39	2.77043e-40	9.14903e-40	-1.74683e-07
16.2	3.20552e-40	1.08913e-40	8.22288e-40	1.55612e-40	5.13892e-40	-1.74683e-07
16.3	1.80051e-40	6.11752e-41	4.61871e-40	8.74059e-41	2.88648e-40	-1.74683e-07
16.4	1.01133e-40	3.43615e-41	2.59428e-40	4.9095e-41	1.62131e-40	-1.74683e-07
16.5	5.68053e-41	1.93005e-41	1.45718e-40	2.75762e-41	9.10673e-41	-1.74683e-07
16.6	3.1907e-41	1.08409e-41	8.18486e-41	1.54893e-41	5.11516e-41	-1.74683e-07
16.7	1.79218e-41	6.08924e-42	4.59735e-41	8.70017e-42	2.87314e-41	-1.74683e-07
16.8	1.00665e-41	3.42027e-42	2.58229e-41	4.8868e-42	1.61381e-41	-1.74683e-07
16.9	5.65427e-42	1.92113e-42	1.45045e-41	2.74487e-42	9.06463e-42	-1.74683e-07
17	3.17595e-42	1.07908e-42	8.14701e-42	1.54177e-42	5.09151e-42	-1.74683e-07
17.1	1.7839e-42	6.06108e-43	4.5761e-42	8.65995e-43	2.85985e-42	-1.74683e-07
17.2	1.002e-42	3.40445e-43	2.57035e-42	4.86421e-43	1.60635e-42	-1.74683e-07
17.3	5.62813e-43	1.91225e-43	1.44374e-42	2.73218e-43	9.02271e-43	-1.74683e-07
17.4	3.16126e-43	1.07409e-43	8.10934e-43	1.53464e-43	5.06797e-43	-1.74683e-07
17.5	1.77565e-43	6.03306e-44	4.55494e-43	8.61991e-44	2.84663e-43	-1.74683e-07
17.6	9.97365e-44	3.38871e-44	2.55846e-43	4.84172e-44	1.59892e-43	-1.74683e-07
17.7	5.6021e-44	1.90341e-44	1.43706e-43	2.71955e-44	8.981e-44	-1.74683e-07
17.8	3.14665e-44	1.06912e-44	8.07185e-44	1.52754e-44	5.04454e-44	-1.74683e-07
17.9	1.76744e-44	6.00517e-45	4.53388e-44	8.58005e-45	2.83347e-44	-1.74683e-07
18	9.92754e-45	3.37304e-45	2.54664e-44	4.81933e-45	1.59153e-44	-1.74683e-07
18.1	5.5762e-45	1.89461e-45	1.43042e-44	2.70697e-45	8.93947e-45	-1.74683e-07
18.2	3.1321e-45	1.06418e-45	8.03453e-45	1.52048e-45	5.02121e-45	-1.74683e-07
18.3	1.75927e-45	5.9774e-46	4.51292e-45	8.54038e-46	2.82037e-45	-1.74683e-07
18.4	9.88164e-46	3.35745e-46	2.53486e-45	4.79705e-46	1.58417e-45	-1.74683e-07
