Results of Simulation 1

Time	CR_mgL	CS_mgL	CBL_mgL	BalErr
18.4	212.986	571.368	354.782	-4.63065e-11
18.5	210.89	565.745	351.29	-4.67667e-11
18.6	208.815	560.177	347.833	-4.72315e-11
18.7	206.759	554.664	344.409	-4.76989e-11
18.8	204.725	549.205	341.02	-4.81694e-11
18.9	202.71	543.8	337.664	-4.86486e-11
19	200.715	538.448	334.34	-4.91324e-11
19.1	198.739	533.148	331.05	-4.96207e-11
19.2	196.783	527.901	327.792	-5.0114e-11
19.3	194.847	522.706	324.566	-5.06122e-11
19.4	192.929	517.561	321.371	-5.11131e-11
19.5	191.03	512.467	318.208	-5.16169e-11
19.6	189.15	507.424	315.077	-5.21305e-11
19.7	187.289	502.43	311.976	-5.26487e-11
19.8	185.445	497.485	308.905	-5.31732e-11
19.9	183.62	492.589	305.865	-5.37019e-11
20	181.813	487.741	302.855	-5.42359e-11
20.1	180.024	482.941	299.874	-5.47749e-11
20.2	178.252	478.188	296.923	-5.53196e-11
20.3	176.498	473.481	294.001	-5.58693e-11
20.4	174.76	468.822	291.107	-5.64245e-11
20.5	173.041	464.207	288.242	-5.69846e-11
20.6	171.337	459.639	285.405	-5.75504e-11
20.7	169.651	455.115	282.596	-5.81226e-11
20.8	167.982	450.636	279.815	-5.86999e-11
20.9	166.328	446.201	277.061	-5.92835e-11
21	164.691	441.809	274.334	-5.98729e-11
21.1	163.07	437.461	271.635	-6.04681e-11
21.2	161.466	433.156	268.961	-6.10686e-11
21.3	159.876	428.893	266.314	-6.16751e-11
21.4	158.303	424.672	263.693	-6.22871e-11
21.5	156.745	420.492	261.098	-6.29062e-11
21.6	155.202	416.354	258.528	-6.35311e-11
21.7	153.675	412.256	255.984	-6.41626e-11
21.8	152.162	408.199	253.464	-6.47998e-11
21.9	150.665	404.181	250.97	-6.54476e-11
22	149.182	400.203	248.5	-6.61065e-11
22.1	147.714	396.264	246.054	-6.67661e-11
22.2	146.26	392.364	243.632	-6.74343e-11
22.3	144.82	388.503	241.235	-6.81061e-11
22.4	143.395	384.679	238.86	-6.87843e-11
22.5	141.984	380.893	236.51	-6.94679e-11
22.6	140.586	377.145	234.182	-7.01586e-11
22.7	139.203	373.433	231.877	-7.08558e-11
22.8	137.833	369.758	229.595	-7.156e-11
22.9	136.476	366.119	227.335	-7.2271e-11
23	135.133	362.515	225.098	-7.29893e-11
23.1	133.803	358.947	222.883	-7.3715e-11
23.2	132.486	355.415	220.689	-7.4448e-11
23.3	131.182	351.917	218.517	-7.51875e-11
23.4	129.891	348.453	216.366	-7.59343e-11
23.5	128.613	345.024	214.237	-7.66887e-11
23.6	127.347	341.628	212.129	-7.74511e-11
23.7	126.094	338.266	210.041	-7.82212e-11
23.8	124.853	334.937	207.974	-7.89985e-11
23.9	123.624	331.64	205.927	-7.97835e-11
24	122.407	328.377	203.9	-8.05767e-11


